gene	crispr_effect_size	crispr_fdr	crispr_sensitising_direction	gse118713_tamr_vs_mcf7_log2fc	gse118713_tamr_vs_mcf7_fdr	gse118713_evidence_class	gse245601_track_a_epithelial_log2fc	gse245601_track_a_epithelial_fdr	gse245601_track_b_malignant_log2fc	gse245601_track_b_malignant_fdr	gse240112_tumor_cell_tested	gse240112_tumor_cell_log2fc	gse240112_tumor_cell_p_value	gse240112_tumor_cell_candidate_bh_fdr	gse240112_all_epithelial_log2fc	gse240112_all_epithelial_fdr	gse240112_direction_agreement_tumor_vs_epithelial	notes
USP34	-1.3912980676838431	0.0416851803622835	True	0.590437436807219	0.0073136129571408	PRIMARY_RESISTANCE_SUPPORT	-0.0334650201061386	0.755692917713756	-0.180624008897835	0.4077065378123413	True	0.400106644327525	0.118318499553175	0.4732739982127	0.456520297738209	0.195590291004925	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
CTDNEP1	-1.3929700500469568	0.0691834175190324	True	-0.354663041745843	0.25349742818574	SECONDARY_CONTEXT_SUPPORT	0.15110673769838	0.638041063384272	0.304676723801525	0.1858415078199043	True	-0.121467789229156	0.69769767798679	0.819071205238469	-0.0499886148469966	0.907015813656905	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	True	0.53145903933498	0.0529761966227399	SECONDARY_CONTEXT_SUPPORT	-0.0618984390937733	0.755692917713756	-0.259810148331114	0.340493074512555	True	0.0629475872692003	0.792166447431357	0.819071205238469	0.143520469287823	0.663291476825465	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
HMGB1	-1.4740651006700034	0.0372575660229722	True	-0.0794061555047207	0.731817935481995	SECONDARY_CONTEXT_SUPPORT	-0.0697664035194113	0.755692917713756	0.164731106307106	0.451106746041953	True	-0.154623744509501	0.731573371995063	0.819071205238469	0.0222884153018175	0.974256310661688	False	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
KDM1A	-2.167335634799461	0.0003849877126404	True	0.146667919066447	0.493845720601604	SECONDARY_CONTEXT_SUPPORT	-0.215079883472444	0.638041063384272	-0.362291502794021	0.1858415078199043	True	0.191941386609262	0.451435037867876	0.677152556801814	0.352813391983954	0.332468905315411	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
PET117	-1.8279505886266567	0.0419031835559097	True	-0.0587411607946384	0.783384004604082	SECONDARY_CONTEXT_SUPPORT	0.0463310730641482	0.755692917713756	0.432519344643182	0.1858415078199043	True	-0.246376118564829	0.428767437017977	0.677152556801814	-0.109559944640269	0.798603860652799	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
TADA2B	-2.0643649381530107	0.0145874633758381	True	0.0065434913994528	0.984583852830181	SECONDARY_CONTEXT_SUPPORT	0.0702306580392095	0.755692917713756	-0.154267537692414	0.451106746041953	True	0.427658434315663	0.241695471048395	0.5800691305161481	0.546745426177169	0.2018432469758	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
VEZF1	-1.602445388833546	0.0372575660229722	True	0.426552278550176	0.237500391027449	SECONDARY_CONTEXT_SUPPORT	-0.0505827437413172	0.755692917713756	-0.436025202244726	0.1858415078199043	True	1.14940832913316	0.0040105194402939	0.0481262332835268	1.17150133098914	0.0074101289726214	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
TLK2	-1.848198303730188	0.0016758310698192	True	-0.151752544851276	0.674943903042664	NO_SIGNIFICANT_RNA_SUPPORT	-0.0362993225303796	0.755692917713756	-0.221502174721007	0.3185014734910302	True	0.0570763695102118	0.819071205238469	0.819071205238469	0.123914835728979	0.758641026373368	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
ICK	-1.2245539921905229	0.0372575660229722	True	0.106733026979587	0.663325990388584	NO_SIGNIFICANT_RNA_SUPPORT	-0.0894575161021647	0.755692917713756	-0.172517635891842	0.4077065378123413	True	0.358028755494179	0.297759481780262	0.595518963560524	0.515081118405101	0.196510005440879	True	CRISPR/GSE118713/GSE245601/GSE240112 measure different biology (functional perturbation, acquired-resistance cell-line state, acute 12h ex vivo response, and human primary-vs-recurrent context respectively) -- no composite score is computed; interpret each column on its own terms.
