gene_symbol	dataset	dataset_key	engine	log2fc	se_wald	ci_low_wald	ci_high_wald	se_f_calibrated	ci_low_f_calibrated	ci_high_f_calibrated	quasi_f	df_total	p_value_frozen_method	fdr_frozen_method	avg_log_cpm	n_biological_units	pseudoreplicated	group_confounded_with_biobank	dataset_caveat	post_freeze_exploratory
CTDNEP1	GSE111151	gse111151	edgeR_glmQLF	-0.0440235942969099	0.207666693520496	-0.45104283438559944	0.3629956457917797	0.17172593190885205	-0.38060023604983756	0.2925530474560178	0.0657202537174073	11.3294259899688	0.802268756238586	0.946275269708185	3.00848779700273	4	False	False	4 cell lines, each resistant subline compared within its own cell line	True
CTDNEP1	GSE118713	gse118713	limma_eBayes_log2TPM1	-0.354663041745843	0.217653424127937	-0.7812559141484208	0.07192983065673475	0.2176534241279372	-0.7812559141484212	0.07192983065673514	2.6552221427947	10.2816586136819	0.133428690802711	0.25349742818574	6.42126992467915	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	True
CTDNEP1	GSE240112	gse240112	edgeR_glmQLF	-0.121467789229156	0.322841280317742	-0.7542250713747302	0.5112894929164181	0.30300069114611994	-0.7153382311662956	0.47240265270798354	0.16070708220832	9.15889485541321	0.69769767798679	0.796356321458072	5.80608920691971	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	True
EIF4ENIF1	GSE111151	gse111151	edgeR_glmQLF	-0.128950200396878	0.15352206376331	-0.42984791620522733	0.17194751541147135	0.12447147803588063	-0.3729098144496724	0.11500941365591644	1.07325853184234	11.3297225287149	0.321816876485056	0.72170580070892	4.1433412528424	4	False	False	4 cell lines, each resistant subline compared within its own cell line	True
EIF4ENIF1	GSE118713	gse118713	limma_eBayes_log2TPM1	0.53145903933498	0.185586064484291	0.16771703691324158	0.8952010417567183	0.18558606448429146	0.16771703691324064	0.8952010417567193	8.20066123496591	10.2816586136819	0.0164126955030823	0.0529761966227399	4.00020665484082	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	True
EIF4ENIF1	GSE240112	gse240112	edgeR_glmQLF	0.0629475872692003	0.246498076189724	-0.42017976432106896	0.5460749388594696	0.2320106496975828	-0.3917849301678008	0.5176801047062014	0.0736109354413561	9.15850175549707	0.792166447431357	0.863278728164698	4.95692194592041	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	True
HMGB1	GSE111151	gse111151	edgeR_glmQLF	-0.130515412318803	0.203285851485577	-0.5289483597970922	0.26791753515948613	0.16826141559436822	-0.46030172687149096	0.1992709022338849	0.601664687266941	11.3297330096388	0.453830618697012	0.80271652586053	7.55732233799884	4	False	False	4 cell lines, each resistant subline compared within its own cell line	True
HMGB1	GSE118713	gse118713	limma_eBayes_log2TPM1	-0.0794061555047207	0.149496499026323	-0.37241390941114105	0.21360159840169968	0.14949649902632275	-0.37241390941114055	0.21360159840169918	0.282128068265059	10.2816586136819	0.606593124982683	0.731817935481995	10.0652196379838	1	True	False	3 replicates per arm of a single MCF7/TAMR lineage; replicates are not independent biological units, so this dataset's p-values and SEs are anticonservative by an unidentifiable factor	True
HMGB1	GSE240112	gse240112	edgeR_glmQLF	-0.154623744509501	0.464275484054317	-1.0645869721608625	0.7553394831418605	0.43716804073751503	-1.0114573595469696	0.7022098705279676	0.125099496620995	9.15911878654182	0.731573371995063	0.820887420028315	10.8023176870949	6	False	True	group is perfectly confounded with biobank at n = 3 vs 3; no weighting scheme separates recurrence from biobank, so this dataset's effect is not attributable to recurrence alone	True
ICK	GSE111151	gse111151	edgeR_glmQLF	-0.168093978284892	0.184245032582871	-0.5292076064777279	0.19301964990794393	0.1507345554919744	-0.463528278274816	0.12734032170503204	1.24359412704947	11.3297308908689	0.287875096072109	0.697681709271967	5.14723134929012	4	False	False	4 cell lines, each resistant subline compared within its own cell line	True
